City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Tefe,BR,2022-12-01 01:42:04,-3.3542,-64.7114,76.41,92,81,3.42
67,Meulaboh,ID,2022-12-01 01:39:48,4.1363,96.1285,78.58,83,100,2.93
68,Vaini,TO,2022-12-01 01:37:40,-21.2,-175.2,84.36,79,75,8.05
69,Kabanjahe,ID,2022-12-01 01:42:05,3.1001,98.4908,68.74,87,100,2.28
70,Puerto Ayora,EC,2022-12-01 01:42:05,-0.7393,-90.3518,68.56,94,60,5.99
71,Saskylakh,RU,2022-12-01 01:40:13,71.9167,114.0833,-28.25,98,100,8.32
72,Yellowknife,CA,2022-12-01 01:41:10,62.456,-114.3525,-21.44,76,40,4.61
73,Ostrovnoy,RU,2022-12-01 01:42:06,68.0531,39.5131,24.19,89,100,6.4
74,Iqaluit,CA,2022-12-01 01:42:06,63.7506,-68.5145,-20.31,68,0,15.01
75,Cape Town,ZA,2022-12-01 01:37:07,-33.9258,18.4232,70.38,81,75,8.05
76,Vardo,NO,2022-12-01 01:37:37,70.3705,31.1107,31.98,86,100,6.91
77,Mecca,SA,2022-12-01 01:42:07,21.4267,39.8261,76.55,73,3,1.95
78,Maarianhamina,AX,2022-12-01 01:42:07,60.0973,19.9348,35.46,100,0,3.44
79,Upernavik,GL,2022-12-01 01:42:07,72.7868,-56.1549,7.18,91,100,19.77
80,Borogontsy,RU,2022-12-01 01:42:08,62.6683,131.1683,-26.79,95,100,3.38
81,Trairi,BR,2022-12-01 01:41:20,-3.2778,-39.2689,78.78,73,48,9.15
82,The Valley,AI,2022-12-01 01:42:08,18.217,-63.0578,79.83,83,20,6.91
83,Ribeira Grande,PT,2022-12-01 01:42:09,38.5167,-28.7,62.78,77,8,3.58
84,Namibe,AO,2022-12-01 01:42:09,-15.1961,12.1522,68.77,79,99,7.11
85,Ayan,RU,2022-12-01 01:42:09,56.45,138.1667,-4.41,82,100,23.71
86,Lagoa,PT,2022-12-01 01:42:10,39.05,-27.9833,61.48,75,0,6.15
87,Pacific Grove,US,2022-12-01 01:38:31,36.6177,-121.9166,53.28,74,0,4.61
88,Seydi,TM,2022-12-01 01:43:10,39.4816,62.9137,33.71,49,100,9.51
89,Torbay,CA,2022-12-01 01:39:38,47.6666,-52.7314,23.5,86,0,5.75
90,Vao,NC,2022-12-01 01:43:11,-22.6667,167.4833,79.61,79,31,7.0
91,Talnakh,RU,2022-12-01 01:38:18,69.4865,88.3972,-3.26,100,98,4.32
92,Khatanga,RU,2022-12-01 01:43:11,71.9667,102.5,-23.57,94,100,8.08
93,Springbok,ZA,2022-12-01 01:43:12,-29.6643,17.8865,61.14,46,3,0.51
94,Tingi,TZ,2022-12-01 01:43:12,-11.3,35.0333,63.01,92,100,4.41
95,Seoul,KR,2022-12-01 01:40:14,37.5683,126.9778,25.99,26,0,6.91
96,Tuy Hoa,VN,2022-12-01 01:43:13,13.0833,109.3,79.72,86,85,12.17
97,Avera,US,2022-12-01 01:43:13,33.194,-82.5271,53.11,50,0,12.3
98,Sao Filipe,CV,2022-12-01 01:43:14,14.8961,-24.4956,75.16,65,100,8.97
99,Richards Bay,ZA,2022-12-01 01:40:10,-28.783,32.0377,65.05,90,100,7.47
100,Butaritari,KI,2022-12-01 01:43:14,3.0707,172.7902,81.55,76,30,12.91
101,Chateaubelair,VC,2022-12-01 01:43:14,13.2833,-61.25,77.29,79,12,12.86
